,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
162,9,37.570564,55.766694,1,,1.0,12,0.06830434648314976,0,1.0,0.0,9700000,3,20,35,162,1.0,9
163,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,9746690,5,42,42,163,1.0,6
164,10,37.626556,55.776051,1,0.0,1.0,16,0.06830434648314976,0,1.0,0.0,9750000,12,19,"37,9",164,1.0,8
165,–,37.672163,55.776294,2,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,9768439,5,"46,2","46,2",165,1.0,5
166,"5,5",37.706793,55.777742,3,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,9800000,6,42,58,166,1.0,8
167,8,37.542653,55.757997,1,1.0,1.0,12,0.06830434648314976,0,0.0,0.0,9800000,3,19,35,167,0.0,15
168,–,37.67228,55.775824,3,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,9886025,3,"59,1","59,1",168,1.0,5
169,–,37.628631,55.766749,3,,,6,0.06830434648314976,0,1.0,0.0,42390855,3,119,119,169,1.0,5
170,"21,2",37.602813,55.738622,4,1.0,1.0,6,0.06830434648314976,0,1.0,0.0,423908550,5,165,307,170,1.0,11
171,25,37.620052,55.733695,4,1.0,,7,0.06830434648314976,0,1.0,0.0,128000000,4,90,157,171,1.0,5
172,7,37.585422,55.767053,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,9900000,1,32,"44,6",172,1.0,15
173,"6,5",37.595941,55.784228,2,1.0,1.0,8,0.06830434648314976,0,1.0,0.0,9900000,7,"28,3",43,173,1.0,6
174,8,37.639671,55.787801,2,0.0,1.0,12,0.06830434648314976,0,0.0,0.0,9900000,7,32,49,174,1.0,12
175,"9,1",37.633688,55.730086,1,1.0,1.0,14,0.06830434648314976,0,1.0,0.0,9900000,10,"19,5",38,175,1.0,3
176,–,37.672163,55.776294,2,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,9930382,1,"46,2","46,2",176,1.0,5
177,5,37.66,55.747459,2,1.0,,8,0.06830434648314976,0,1.0,0.0,9950000,1,27,40,177,1.0,10
178,–,37.536886,55.754988,3,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,9950000,3,30,54,178,,
179,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,9960712,3,"44,5","44,5",179,1.0,6
180,10,37.584272,55.740472,1,0.0,1.0,8,0.06830434648314976,0,0.0,0.0,9990000,5,20,35,180,1.0,12
181,6,37.685251,55.770902,2,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,10000000,14,24,39,181,1.0,6
182,4,37.637596,55.770942,2,1.0,0.0,5,0.06830434648314976,0,1.0,0.0,10000000,3,24,33,182,1.0,4
183,"9,7",37.686437,55.744662,1,0.0,0.0,12,0.06830434648314976,0,1.0,0.0,10000000,2,"19,9","34,8",183,1.0,3
184,10,37.522998,55.753387,1,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,9999999,9,20,"35,1",184,1.0,10
185,8,37.562236,55.761365,2,0.0,1.0,9,0.06830434648314976,0,1.0,0.0,10000000,8,23,38,185,1.0,4
186,6,37.606658,55.72164,2,0.0,,9,0.06830434648314976,0,1.0,0.0,10000000,2,23,38,186,1.0,5
187,6,37.537613,55.755864,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,10000000,3,28,40,187,1.0,12
188,"5,4",37.68791,55.773768,3,1.0,,9,0.06830434648314976,0,1.0,0.0,10000000,1,38,"54,5",188,0.0,7
189,"6,1",37.660683,55.747429,2,1.0,,8,0.06830434648314976,0,1.0,0.0,10000000,1,"25,1",41,189,1.0,11
190,9,37.656838,55.786273,2,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,10000000,7,32,48,190,1.0,14
191,9,37.656838,55.786273,2,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,10000000,7,32,48,191,1.0,10
192,6,37.665983,55.765367,2,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,10000000,4,23,38,192,1.0,11
193,"5,1",37.56547,55.764967,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,10000000,9,"28,2","41,5",193,1.0,3
194,6,37.68791,55.773768,2,,1.0,9,0.06830434648314976,0,0.0,0.0,10000000,5,28,43,194,1.0,9
195,11,37.642132,55.774305,2,0.0,1.0,16,0.06830434648314976,0,,0.0,10029600,8,28,50,195,1.0,5
196,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,10056458,4,"44,1","44,1",196,1.0,6
197,19,37.574345,55.726893,4,1.0,1.0,13,0.06830434648314976,0,0.0,0.0,142041973,6,106,163,197,1.0,5
198,6,37.587865,55.781175,1,1.0,1.0,8,0.06830434648314976,0,1.0,0.0,8200000,5,19,32,198,1.0,3
199,16,37.594081,55.750013,4,1.0,,7,0.06830434648314976,0,1.0,0.0,91303380,6,90,151,199,1.0,7
200,7,37.585422,55.767053,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,10100000,1,32,"44,6",200,1.0,11
201,7,37.585422,55.767053,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,10100000,1,32,"44,6",201,1.0,10
202,6,37.680787,55.775986,3,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,10190000,7,43,58,202,1.0,5
203,–,37.564689,55.770244,1,,,44,0.06830434648314976,0,,0.0,10200000,20,"48,4","48,4",203,1.0,7
204,8,37.582035,55.730335,1,1.0,,14,0.06830434648314976,0,1.0,0.0,10290000,2,"15,1","30,1",204,1.0,5
205,7,37.676385,55.734962,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,10300000,2,29,45,205,1.0,7
206,7,37.638045,55.786996,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,10300000,4,26,39,206,1.0,9
207,6,37.579421,55.741794,1,,1.0,5,0.06830434648314976,0,1.0,0.0,10300000,3,19,31,207,1.0,11
208,11,37.642132,55.774305,2,0.0,1.0,16,0.06830434648314976,0,,0.0,10329300,13,28,49,208,1.0,5
209,–,37.685364,55.745617,3,1.0,,19,0.06830434648314976,0,,,10478000,16,"53,2","69,9",209,,
210,10,37.627885,55.776021,1,0.0,,5,0.06830434648314976,0,1.0,0.0,10488000,2,18,38,210,1.0,8
